review_id,text,actual_stars,s1_pred,s1_expl,s2_pred,s2_expl,s3_pred,s3_expl
10,"Good food and able to manage a large group easily. Our party had 11 and there wasn't a long wait at all. Highlights: spinach and artichoke dip, onion rings, and tortilla soup. Total tab was only $160 for the whole group.",4,4,"The reviewer highlights positive aspects like good food, efficient service for a large group, and reasonable pricing. The specific dish mentions are also favorable.",4,"Positive review highlighting good food quality, efficient service for a large group, and reasonable pricing.",0,Error: Extra data: line 5 column 1 (char 973)
11,"This place is great!
If you talk to anybody they have a suggestion for a great flavor.
You can bring in food from another place to enjoy and just enjoy a great atmosphere.
With the music that someone has an issue with you can just talk to the DJ to get a suggestion they are MORE than accommodating.
They have a great happy hour prices! 
Overall great prices, great people, and a great time! If you have the right mind :)",5,5,"The reviewer uses highly positive language like 'great', 'fantastic', and expresses enjoyment of the atmosphere, staff, and prices.",5,"Overwhelmingly positive sentiment with praise for atmosphere, staff, and value.",4,"This review is overwhelmingly positive. Here's a breakdown:

**Positive Aspects:**
* **Friendly and helpful staff:** The reviewer mentions everyone having great flavor suggestions and the DJ being accommodating.
* **Bring-your-own-food policy:** This adds flexibility for customers.
* **Great atmosphere:** The reviewer explicitly states they enjoy the atmosphere.
* **Good music:** While some might have issues with it, the reviewer emphasizes that talking to the DJ helps resolve this.
* **Happy hour prices:**  This is a significant draw for many.
* **Overall good value:**  The reviewer highlights good prices across the board.

**Negative Aspects:**
* The phrase ""If you have the right mind :)"" suggests there might be a specific type of person who would enjoy this place, which could be interpreted as slightly negative by some.

**Overall:** Despite the minor caveat, the review clearly expresses a strong positive experience. 4 stars seems appropriate."
12,Air Jordan! need I say more?,3,5,The enthusiastic exclamation and reference to 'Air Jordan' strongly suggest a very positive sentiment.,5,Highly enthusiastic and suggestive of strong positive sentiment.,0,Error: Invalid control character at: line 3 column 59 (char 84)
13,"There are many other reviews which extol the virtues of this location. I just wanted to add some of my experiences as well as a few observations.

First off, at the time of this writing I've been in Phoenix for about a year. Learning about all the necessary places to go in a new town, I had the opportunity to rate businesses objectively (not like 'My mom always went there so I do too...')

Fry's became a standard 'go to' place. Their hours are great (5 AM to 1 AM). There are many locations, and their prices are very competitive. They also have a convenient VIP card and electronic coupon program.

Specifically to my needs, this location has a good pharmacy, an organic/health selection and a well stocked bakery and deli (for parties and special occasions). Their parking is reasonable and the lot is well kept/secure. There's also a Chase branch nearby as well as a Best Buy, Staples and Old Navy. On Wednesdays there's a Farmer's Market just across the street for everything else I can't find here.

Not all Fry's carry the same things. For instance, I can only depend on this location to carry pita bread, garlic naan, large Fage yogurt as well as the Mexican version of creme fraiche. I appreciate this greatly.

One word of caution, be firm with the staff at the deli. Take a number, insist on their attention, and don't let them gyp you with small wings or the bottom of the pasta selection. I know some of them don't care about their job, but don't let that ruin your experience. Remember: they're probably making minimum wage.

Oh, and the other reviewer's comment about the parking is accurate, although I'm not sure what they can do about it as this is a mall complex.",4,4,"The reviewer provides a mostly positive review, highlighting Fry's convenient hours, competitive prices, and specific product offerings. While they mention some negative experiences with deli staff, they ultimately encourage customers to be assertive and not let it ruin their experience.",4,"Mostly positive review with specific details and praise for various aspects like hours, selection, and convenience. However, there is a cautionary note about potential issues with deli staff.",0,Error: Invalid control character at: line 3 column 339 (char 364)
14,"TJ was there for me when my water heater broke and started flooding my garage.  He walked me through fixing it over the phone until he was able to send some help to my house.  Very grateful, and I will continue referring!",5,0,Error: Extra data: line 5 column 1 (char 231),5,Extremely positive sentiment expressing gratitude for helpful assistance during an emergency situation.,0,Error: Extra data: line 5 column 1 (char 768)
15,"So I was pretty excited about this burger joint opening since it's President Obama's favorite... 
The burger was good. Not great, not bland, just okay. My biggest hang up with this restaurant are the prices! Skip the beverage... it's very over priced. I was also not impressed with the fries- regular or cajun. They were pretty average as well. Stick with the burger and skip the rest is my suggestion to you.",2,3,"The review describes the burger as 'just okay' and finds the drinks and fries 'average'. While the reviewer acknowledges the burger was good, the high prices and lackluster sides bring down the overall rating.",3,"Mixed review. While the burger was considered decent, the reviewer expresses dissatisfaction with the prices of beverages and fries, leading to a moderate overall rating.",0,Error: Extra data: line 5 column 1 (char 567)
16,"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was sweet, she botched the spelling of Jared's name in the process.  Needless to say, i was not so impressed.

Fancy sums this department store up in my eyes - I'm much more of a Nordstrom's or Macy's or Bloomingdales type of girl!",4,2,The reviewer acknowledges the quality of merchandise but expresses discomfort with the atmosphere and mentions a negative experience with staff in the registry department.,2,"Mixed feelings about Neiman's. While acknowledging the quality of designer labels, the reviewer expresses discomfort with the store's atmosphere and a negative experience in the housewares department.",3,"This review presents a mixed experience.  

**Positives:**
* The reviewer acknowledges the high quality of designer labels at Neiman's.
* They previously purchased items on sale and found them satisfactory.

**Negatives:**
* The reviewer feels uncomfortable in the environment due to its perceived 'fancy' and high-end nature.
* They express dissatisfaction with the small size of the housewares/registry department.
* A staff member made a mistake spelling Jared's name, leading to disappointment.

Overall, while the reviewer appreciates the quality of goods, their negative feelings about the atmosphere and service experience outweigh the positives.  A 3-star rating reflects this balanced perspective."
17,"I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""petite"" burger. It is smaller but has the same toppings you order on the regular. So for those of you that don't want to have a burger that is 1000 calories (yes they are and more with the endless fries) , try the petite.",4,0,Error: Extra data: line 5 column 1 (char 229),4,Positive review highlighting a healthier option available at Red Robin.,3,"This review is mixed. 

**Positive:**
* Highlights a specific menu item (petite burger) that caters to calorie-conscious diners.
* Provides a helpful tip for those trying to reduce their caloric intake.
* Acknowledges the potential high calorie count of regular burgers and fries at Red Robin.

**Negative:**
* The review focuses solely on a single aspect (calorie reduction) and doesn't mention other aspects like taste, service, or atmosphere.
*  The tone is somewhat blunt and could be perceived as negative by some readers. 
 * Lacks specific details about the petite burger itself (taste, size comparison). 

Overall, the review offers a useful tip but lacks depth and enthusiasm, leading to a 3-star rating."
18,Great pizza and awesome must have guacamole pizza appitizer!!!!,5,0,Error: Extra data: line 5 column 1 (char 169),5,Very positive language with enthusiastic recommendations.,4,"This review is overwhelmingly positive. 

**Positive aspects:**
* ""Great pizza"" clearly indicates satisfaction with the main dish.
* ""Awesome must have guacamole pizza appitizer!!!!"" expresses strong enthusiasm for a specific appetizer and uses superlatives like ""awesome"" and ""must have."" The multiple exclamation points also highlight excitement.

 **Negative aspects:** 
* There are no explicitly stated negative aspects in this review.

The reviewer's passion for the pizza and appetizer, coupled with the absence of any complaints, suggests a very positive experience.  Therefore, a 4-star rating is appropriate."
19,"This is a quaint little airport which is very convenient if you are travelling to the Tempe/Mesa area, or already know people who live there.  I say it's convenient-- if you are flying in from Grand Island or Grand Forks or Rapid City or East Bugtussel, since the only commercial tenant at this decomissioned air force base is Allegiant Airlines, which specializes in flying you from nowhere to somewhere (Phoenix, Las Vegas, Orlando that sort of thing).  

But from landing to sitting in my rental car it was maybe 20 minutes tops and I was heading out to lunch in the Phoenix area (don't bother with purchasing the ""snacks"" on the flight, just make sure you are prepared beforehand).",5,0,Error: Extra data: line 5 column 1 (char 260),3,"Mixed review, highlights convenience but criticizes limited options and airline.",0,Error: Invalid control character at: line 3 column 68 (char 92)
20,"Headed back to Lobby's. How I missed this tasty burger. I wasn't disappointed with round 2. The burger was still fantastic! I'm also happy that the fries were a little bit less salty than my previous trip. 

With any burger purchase, getting the combo pack (fries/soda) is the smart choice.

I do wish that they would lose the styrofoam soda cups and offer more than one size of drinks.

Make sure to grab plenty of napkins before you sit down. The burger can make a mess with the homemade sauce dripping off the meat and bun. That's a good thing in my opinion!",5,4,"The reviewer expresses strong positive sentiment towards the burger and fries, highlighting their taste and improvements since their last visit. While they mention some minor downsides (styrofoam cups, limited drink sizes), their overall tone is enthusiastic and suggests a very positive experience.",4,Overwhelmingly positive sentiment about the burger and fries.  Minor complaints about drink options and packaging.,0,Error: Extra data: line 5 column 1 (char 915)
21,"Simple but really great cajun food prepared in steamers right in front of you.  Selections include gumbo, pan roasts (a tomato-based broth with chunks of seafood), or seafood creole all with your choice of shrimp, crab, chicken, crawfish, oysters, or all five, with rice. They also have fresh oysters, jumbo shrimp cocktails, salads, and tasty seafood chowder, as well as the occasional lobster special. I've been probably 20 times and still never had a bad dish. The staff is friendly and helpful, and will adjust the spiciness of the dishes to your taste. By far the best option at the Talking Stick resort.

As another reviewer noted, this restaurant is really just a bar with a couple of tables, stuck right off the casino floor. This is definitely not a fine dining spot, with the clanging of slot machines and dead-eyed gamblers shuffling around fifteen feet away. Still, it's definitely worth a visit to Talking Stick. At $10-12 for lunch portions and $17-19 for huge dinner servings, and $25 for a massive platter of oysters, shrimp, crab, mussels, and clams, it's a fantastic value for the quality and tastiness of the food.  Good, reasonably priced seafood can be hard to come by in the valley, but this spot is a gem.",5,5,"The review overwhelmingly expresses positive sentiment about the food, service, and value of the restaurant. The reviewer highlights specific dishes they enjoy, praises the staff's helpfulness, and mentions their frequent return visits.",5,"Overwhelmingly positive review highlighting delicious food, friendly service, and great value for money. Despite the less-than-ideal ambiance described, the reviewer strongly recommends the restaurant.",4,"This review is overwhelmingly positive about the food quality and value at this Cajun restaurant. Here's a breakdown:

**Positive Aspects:**
* **Excellent Food:** The reviewer highlights the deliciousness of the Cajun dishes, mentioning specific items like gumbo, pan roasts, and seafood creole. They emphasize that they've never had a bad dish after 20 visits.
* **Customization:**  The staff is praised for being friendly, helpful, and accommodating to spice preferences.
* **Value for Money:** The reviewer points out the affordable prices, especially considering the generous portion sizes. They consider it a fantastic value compared to other seafood options in the area.

**Negative Aspects:**
* **Ambiance:**  The reviewer acknowledges that the restaurant's location within a casino creates a less-than-ideal atmosphere with noise and distractions from gambling. However, they don't seem to let this detract significantly from their enjoyment of the food.

**Overall:** While the ambiance isn't ideal, the exceptional food quality, friendly service, and reasonable prices clearly outweigh the negatives. This review strongly suggests a fantastic dining experience for those seeking delicious Cajun cuisine at a great value."
22,"Staff was very rude, bowling prices weren't displayed to the best of their ability, extreme bowling itself was over priced almost $20 per person. The only thing about their extreme bowling was that it was extremely hot, temperature wise. they had many ceiling fans and not one of them turned on. And the bowling equipment malfunctioned three times during our games. It was not a pleasant experience and I don't believe we'll be going to this facility again.",1,1,"The review is overwhelmingly negative, citing rude staff, unclear pricing, overpriced services, an uncomfortable temperature due to malfunctioning fans, and equipment issues. The reviewer expresses dissatisfaction and states they won't return.",1,"Multiple complaints about staff rudeness, unclear pricing, overpriced bowling, uncomfortable temperature due to malfunctioning fans, and equipment malfunctions. Overall strongly negative experience.",0,Error: Extra data: line 5 column 1 (char 1006)
23,"The staff is really helpful.  I arrived without credit card due to a travel mishap and they were great about providing assistance to get me to a bank to help clear things up.  Their bell staff is friendly and knowledgable.  They can and will get you anywhere in town.  

Room was okay.  Clean, well furnished and updated.  I had a window overlooking the courtyard and I would recommend avoiding that.  It can get a little loud at night.  

Banquet food was good.  Not great, but good and plentiful.  Good variety of dishes for everyone from salads and sandwiches to hot dishes.  A few of the items were a little salty for my taste but with a buffet style service, if something didn't suit, you could replace it with something else.  The break service was astonishing--they really go all out!  

If you are visiting during the right weather, do not miss the pool area.  It's fantastic!",4,4,"The review highlights positive aspects like helpful staff, good banquet food, and a fantastic pool area. While the room had some minor drawbacks (noise from the courtyard), overall the experience seems positive.",4,"Overall positive review highlighting helpful staff, good banquet food and a fantastic pool area. Minor criticisms regarding the room noise and slightly salty buffet items.",4,"This review highlights several positive aspects of the hotel experience. The staff is praised for their helpfulness and friendliness, going above and beyond to assist with a travel mishap.  The bell staff is also commended for their knowledge and efficiency. 

The room is described as clean, well-furnished, and updated, although the reviewer suggests avoiding rooms overlooking the courtyard due to potential noise issues at night. 

The banquet food is considered good with plenty of variety, though some items were too salty for the reviewer's preference. The exceptional break service is a significant positive point.

Finally, the pool area is highly recommended during pleasant weather.

While there are minor drawbacks mentioned (noise from courtyard rooms and slightly salty food), the overall tone of the review is positive, leaning towards a 4-star rating."
24,"Someone asked the question in the Yelp talk threads where the best place was for fried things, like french fries and onion rings.  Several people said Ted's had great onion rings......so off I went!  

I expected a smaller place but I was pleasantly suprised when I pulled up to a medium sized store.  I was greated with a smile and asked what I would like.  It was a Sunday afternoon so they were not very busy.  I liked the fact that you tell them what you want and they toss it on the grill right in front of you.  Everything is freshly cooked.  They did the same with the onion rings and french fries too.  Everything was fresh and hot.  My daughter had her favorite....a hot dog, which she loved, and fries which were fresh and crisp.  I had a burger and onion rings.  Yes, the onion rings were delicious!  The batter was great and the onions were a little on the sweet side.  My burger was cooked to perfection.  

This is another great little place we will go back to.  It's also sort of near my work so maybe I'll get out one day and go here for lunch.  Thanks Ted's and Yelpers!",4,5,"The reviewer expresses overwhelmingly positive sentiment about their experience at Ted's, praising the food quality, service, and atmosphere. They specifically highlight the delicious onion rings and freshly cooked meals.",5,"Overwhelmingly positive review with praise for food quality, service, and atmosphere.",4,"This review is overwhelmingly positive.  Here's a breakdown:

**Positives:**
* **Excellent Food:** The reviewer highlights the deliciousness of the onion rings and burger, praising the fresh ingredients and perfect cooking.
* **Visible Preparation:** The reviewer appreciates seeing their food cooked to order on the grill, emphasizing freshness.
* **Friendly Service:**  The greeting with a smile sets a positive tone.
* **Cleanliness/Presentation:** While not explicitly stated, the mention of a 'medium sized store' and lack of complaints about cleanliness suggest a pleasant atmosphere.
* **Daughter's Approval:** The reviewer mentioning their daughter enjoyed her meal adds another layer of positive feedback.
* **Intent to Return:**  The reviewer expresses a clear desire to revisit Ted's, both for family outings and potentially for lunch at work.

**Negatives:**
* **Minor Observation:** The reviewer notes the place was larger than they expected but doesn't frame it negatively.
 * **No Specific Critiques:** There are no mentions of anything truly disappointing about the food, service, or ambiance.

Overall, the review is enthusiastic and detailed. The emphasis on fresh food and positive experience earns a 4-star rating."
25,"After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of tasty burritos.  We ended up getting non-burrito meals, but were fully satisfied with our entrees.  The green chile plate was filled with perfectly cooked pork with a spicy tomatillo sauce that went well with the pork.  The horchata tasted freshly made and was very refreshing and light.  Overall, I think Big Burrito is a good option for those that want a filling meal without breaking your wallet.",4,0,Error: Extra data: line 5 column 1 (char 172),4,"Positive review highlighting delicious food, good value, and a satisfying experience.",0,Error: Invalid control character at: line 3 column 54 (char 81)
26,Prices are often way too high!,1,2,"The reviewer expresses strong dissatisfaction with the prices, indicating a negative experience.",1,Strongly negative sentiment expressed about prices,2,"This review expresses a strongly negative sentiment regarding the product's pricing. 'Prices are often way too high!' indicates significant dissatisfaction with the cost. However, it lacks details about specific products or comparisons to competitor prices. This limits the scope of the criticism and prevents a lower star rating.

The reviewer seems disappointed but hasn't explicitly ruled out purchasing from the business altogether. "
27,"I have been to this place twice so far.  The first time I had no idea what to expect since I never heard of it before.  I honestly have no idea what to compare it to but I guess the closest thing is Texas Road House judging by the reviews here on Yelp.  Anyway, I know its not the classiest joint with the best food, but anything is worth a fair shot.  The first time my wife and I went we were in the area doing some shopping and just wanted something quick and casual for dinner.  We didn't expect anything great but to be honest our expectations were exceeded.

The happy hour is pretty good.  $3 pints and 2 for 1 cocktails/wine.  Both times we went we ordered a 2 for 1 drink which would have been ok if they didn't charge too much for the first one.  I mean $5 for a small glass of Yellow Tail?  They are giving you 2 though so I can't complain too much I guess.

The thing we love about this place is the 2 meals for $13.99 special they have going on.  There are some pretty good options if you stay away from the fried stuff.  So far we have had the chop steak, steak and the salmon.  They are all very good and decently sized.  They prepare them however you want (sauce on the side, etc.) and everything comes with 2 sides.  There are 10 or so sides to choose from.  I get a side salad and some grilled onions or mushrooms to go with whatever meat I am having and they are always very good.  My wife always gets some sort of grilled vegetable and they are good as well. 

The service is very fast and friendly and the food always comes out pretty quick.  Oh yeah, and I also am a fan of their peanuts as well as the rolls that you get to start.",4,4,"The reviewer expresses overall positive sentiment, praising the happy hour deals, $13.99 meals, generous portions, and friendly service. While they note some minor issues (price of wine, reliance on fried options), their overall experience is clearly positive.",4,"The review expresses largely positive sentiment. While there are some minor complaints about drink prices, the reviewer highlights several aspects they enjoy: happy hour deals, value for money with the meal specials, good food quality and variety, and friendly service.",4,"This review is overwhelmingly positive. Here's a breakdown:

**Positive Aspects:**
* **Good Value:** The reviewer highlights the $13.99 2-meal special as a great deal and mentions the decent portion sizes.
* **Customizable Meals:** They appreciate the ability to choose sauces and sides, making the meals more personalized.
* **Tasty Food:**  The reviewer specifically praises the chop steak, salmon, grilled vegetables, and sides.
* **Fast Service:** The food arrives quickly, and the service is described as friendly.
* **Happy Hour Deals:**  While they note the price of a single drink might be high, the 2-for-1 deal is appealing.
* **Appetizers:** The reviewer enjoys the peanuts and rolls provided at the start.

**Negative Aspects:**
* **Price of Drinks:** While the 2-for-1 deals are good, they find a single drink overpriced.
* **Ambiance:**  The reviewer mentions it's not the 'classiest joint,' suggesting the atmosphere might be casual and perhaps lacking in sophistication.

**Overall:** The reviewer clearly enjoys this restaurant for its value, customizable meals, tasty food, and fast service. While they have a minor complaint about drink prices and the ambiance, their positive experiences outweigh the negatives."
28,"The wood saw is always out of service...
The garden department is nice, but the staff is a little strange.

This location never seems to be busy, so check out times are short. 
The prices are higher than ""another"" home improvement store just east on Baseline.

Meh.",2,0,Error: Extra data: line 5 column 1 (char 264),2,"Mixed review with more negative than positive points. Issues with equipment availability and staff,  but mentions short checkout times and lower customer traffic as positives.",2,"Here's a breakdown of the review:

**Positive Aspects:**
* **Quick Checkout:**  The reviewer mentions that check out times are short due to the store not being busy.
* **Nice Garden Department:** The garden department is specifically praised.

**Negative Aspects:**
* **Broken Tool:** A key tool, the wood saw, is consistently out of service, which is a significant drawback for DIYers.
* **Strange Staff:** While the staff is mentioned as nice, there's an undertone of 'strange' that could deter some customers.
* **Higher Prices:** The reviewer states prices are higher compared to a competitor, making it less appealing on value.

**Overall Sentiment:**  The review leans negative. While there are some positive points, the broken tool and higher prices outweigh them. The 'meh' ending further emphasizes a lack of enthusiasm.

Therefore, a 2-star rating seems appropriate."
29,"I've never been to a restaurant where we (a party of 6 with a reservation) sat at a cleared table with no water, no bread, no cutlery, no service for 15 minutes before receiving a menu .... when we finally had someone provide a menu, it then took another 15 minutes to get the wine we ordered. 
Still no bread, still no food. 

The server dumped the wine bottle on the table (unopened), and went to find glasses. 10 minutes later she then threw the bottle opener at our table so we could open the wine ourselves while she went to find glasses. Most (!?!) of the wine glasses arrived within the next 10 minutes, and still no bread or food. 
Do I need to go on? 

And while the server apologized profusely, she never offered to take anything off the bill or even a dessert on the house for our clearly disgruntled group. 

Food was fine -- the house-made burrata is quite remarkable. But not enough of a reason to return. Others we were with have had better experiences, and I would hope for the owner's sake that our dinner was an aberration...",2,2,"The review highlights numerous service issues (long wait times, inattentive staff, and lack of basic amenities) that significantly detract from the dining experience. While the food is acknowledged as good, the poor service overshadows it.",2,"Extremely negative experience described. While the food is praised, the poor service overshadows it significantly.",2,"While the reviewer acknowledges the food being 'fine' with a specific positive mention of the house-made burrata, the overwhelmingly negative service experience drags down the rating.  Here's a breakdown:

**Negative Aspects:**
* **Lack of Basic Service:**  15 minutes of waiting with no water, bread, or cutlery is unacceptable. 
* **Slow and Disorganized Service:** Delays in getting the wine, forgotten glasses, and having to open the bottle themselves show a severe lack of attention and competence.
* **Rude Behavior:** Describing the server 'dumping' the bottle and 'throwing' the opener paints a picture of unprofessional and disrespectful conduct.
* **No Attempt at Compensation:** The apology was insufficient; no gesture to rectify the terrible experience (discount, free dessert) shows a lack of concern for customer satisfaction.

**Positive Aspects:**
* **Good Food:** The reviewer specifically praises the burrata. 
* **Potential for Improvement:** The reviewer suggests that this might be an isolated incident and expresses hope that it wasn't representative of the restaurant's usual standard.

Overall, the poor service significantly outweighs the positive aspects of the food. A 2-star rating reflects this."
